n,p_removed,T,binder,binder_err,n_realizations
28,0.2,3.988,-0.06810786227791013,0.06285347782536697,12
28,0.2,4.014,0.029160944401509913,0.05514795363687738,12
28,0.2,4.04,0.06202879192257188,0.06962816880104054,12
28,0.2,4.066,0.08482970101725619,0.05379116859261227,12
28,0.2,4.092,0.128719945114843,0.029714846995898752,12
28,0.2,4.118,0.04164593974699734,0.043013540751926656,12
28,0.2,4.144,0.07493986075844382,0.04034283928448061,12
28,0.2,4.17,-0.1822746119815776,0.04806470077767551,12
28,0.2,4.196,-0.1964612092856409,0.06726158281245581,12
28,0.2,4.222,-0.4550624614075707,0.03779334915170577,12
28,0.2,4.248,-0.46296415920447603,0.08205063901913189,12
28,0.2,4.274,-0.4670638386808665,0.0571213381963247,12
28,0.2,4.3,-0.6666987448326248,0.07521779281026808,12
32,0.2,3.0,0.6665702719491038,1.9988977546195383e-06,12
32,0.2,3.026,0.6665558431181908,1.452298334214443e-06,12
32,0.2,3.052,0.6665443469342256,2.658662993192491e-06,12
32,0.2,3.078,0.6665269551067711,1.554742220395635e-06,12
32,0.2,3.104,0.6665108404830998,2.8645560819512933e-06,12
32,0.2,3.13,0.6664880930288527,3.215210056227511e-06,12
32,0.2,3.156,0.666457833889876,3.498424902800503e-06,12
32,0.2,3.182,0.6664290748130243,4.352641570806702e-06,12
32,0.2,3.208,0.6566619661375744,0.009717540948324156,12
32,0.2,3.234,0.6663409999763822,8.009370832087418e-06,12
32,0.2,3.26,0.6662493849995814,1.4253293283822186e-05,12
32,0.2,3.286,0.6661972820741263,1.1606388633612097e-05,12
32,0.2,3.312,0.6660560704167314,1.603533855538875e-05,12
32,0.2,3.338,0.6658923526038637,1.983292012041235e-05,12
32,0.2,3.364,0.6656571797327734,2.8258414010869027e-05,12
32,0.2,3.39,0.6653817340063092,3.870339710456481e-05,12
32,0.2,3.416,0.6647399423939199,6.76194209426386e-05,12
32,0.2,3.442,0.663567603964114,0.00018933729588879218,12
32,0.2,3.468,0.6604309697900249,0.0008058031132577491,12
32,0.2,3.494,0.6531730491423822,0.0011273269165084593,12
32,0.2,3.52,0.6197381214949864,0.008554563368226568,12
32,0.2,3.546,0.46990958998408483,0.04726966170154014,12
32,0.2,3.572,0.40503130897764855,0.032351194718344085,12
32,0.2,3.598,0.16976408522018036,0.040679548209695354,12
32,0.2,3.624,0.12111417662679931,0.043092557253170606,12
32,0.2,3.65,0.10002060514226208,0.04890042455406001,12
32,0.2,3.676,-0.03359184697910985,0.06154279670104266,12
32,0.2,3.702,0.08890386626322262,0.027057264971711795,12
32,0.2,3.728,0.08019423054193588,0.04214247223727698,12
32,0.2,3.754,-0.06047749065552215,0.053966157101571224,12
32,0.2,3.78,0.04921116655099838,0.039315760558060124,12
32,0.2,3.806,0.039175930975492955,0.03729148335949921,12
