t,rho
11310,0.02051733
11320,0.02043733
11330,0.01925867
11340,0.02081600
11350,0.02024533
11360,0.01828800
11370,0.02089600
11380,0.01913067
11390,0.01997333
11400,0.01847467
11410,0.01948267
11420,0.01882133
11430,0.02036267
11440,0.01983467
11450,0.02019200
11460,0.01919467
11470,0.01889067
11480,0.01838400
11490,0.02033600
11500,0.02111467
11510,0.01960000
11520,0.01924800
11530,0.02019200
11540,0.01997333
11550,0.01944000
11560,0.01950400
11570,0.01945600
11580,0.02077333
11590,0.01949333
11600,0.01962667
11610,0.01901333
11620,0.02027733
11630,0.01853333
11640,0.01982400
11650,0.02040000
11660,0.02012267
11670,0.01941333
11680,0.01988800
11690,0.01936000
11700,0.01862933
11710,0.02027200
11720,0.02004800
11730,0.01873600
11740,0.01971733
11750,0.01976000
11760,0.02073600
11770,0.01992000
11780,0.01867200
11790,0.01965867
11800,0.01987200
11810,0.01935467
11820,0.02042667
11830,0.02004800
11840,0.01926933
11850,0.01940800
11860,0.02000533
11870,0.02018667
11880,0.01924800
11890,0.01938667
11900,0.01925867
11910,0.01916267
11920,0.02019200
11930,0.01959467
11940,0.02082133
11950,0.01930667
11960,0.01920000
11970,0.01901333
11980,0.01930667
11990,0.01897600
12000,0.01894400
12010,0.01965867
12020,0.01875200
12030,0.01957333
12040,0.02040000
12050,0.01958933
12060,0.01929067
12070,0.01942400
12080,0.01924267
12090,0.02099733
12100,0.01956800
12110,0.02016000
12120,0.01934933
12130,0.01889067
12140,0.01929067
12150,0.01878400
12160,0.02054400
12170,0.01875200
12180,0.01885333
12190,0.02006400
12200,0.01895467
12210,0.01994667
12220,0.01922133
12230,0.01935467
12240,0.02021867
12250,0.01885333
12260,0.01944533
12270,0.01820267
12280,0.01910400
12290,0.01980800
12300,0.01996267
12310,0.01930667
12320,0.01897600
12330,0.01856533
12340,0.01888000
12350,0.02038400
12360,0.01929067
12370,0.01966400
12380,0.02027733
12390,0.02007467
12400,0.01982400
12410,0.01843200
12420,0.01944000
12430,0.01929067
12440,0.01887467
12450,0.01889067
12460,0.01940800
12470,0.02042667
12480,0.01917867
12490,0.01980800
12500,0.01858133
12510,0.01956267
12520,0.02002667
12530,0.01948267
12540,0.01933333
12550,0.01946667
12560,0.01866133
12570,0.02018133
12580,0.01976000
12590,0.02022933
12600,0.02012800
12610,0.01872000
12620,0.01914667
12630,0.01812800
12640,0.01951467
12650,0.01950933
12660,0.01958933
12670,0.01883200
12680,0.01892800
12690,0.01882667
12700,0.01939733
12710,0.02088533
12720,0.01856000
12730,0.02011733
12740,0.01862400
12750,0.01864000
12760,0.01952000
12770,0.02108800
12780,0.01930667
12790,0.01916267
12800,0.01959467
12810,0.02009067
12820,0.01943467
12830,0.02021867
12840,0.01939200
12850,0.01902933
12860,0.01892267
12870,0.02022400
12880,0.01985600
12890,0.02010133
12900,0.01957867
12910,0.01967467
12920,0.01942933
12930,0.01990933
12940,0.01890667
12950,0.01980800
12960,0.01895467
12970,0.01913067
12980,0.01932267
12990,0.01992533
13000,0.01955733
13010,0.01929600
13020,0.01977067
13030,0.02032533
13040,0.01964800
13050,0.01893867
13060,0.01980800
13070,0.01914667
13080,0.02051733
13090,0.01977067
13100,0.01970133
13110,0.01912533
13120,0.02053867
13130,0.01944000
13140,0.01979733
13150,0.01930133
13160,0.02034133
13170,0.01865600
13180,0.01998400
13190,0.02020267
13200,0.02023467
13210,0.02068267
13220,0.01958933
13230,0.01825600
13240,0.01863467
13250,0.01956267
13260,0.02012267
13270,0.01974400
13280,0.01946667
13290,0.01891733
13300,0.01945067
13310,0.02053867
13320,0.01920000
13330,0.02028800
13340,0.01940800
13350,0.01920000
13360,0.01944533
13370,0.01964800
13380,0.01989333
13390,0.01918933
13400,0.01907200
13410,0.01945600
13420,0.01980800
13430,0.01938133
13440,0.01969067
13450,0.01923200
13460,0.01950933
13470,0.01939733
13480,0.01900800
13490,0.01898133
13500,0.01932800
13510,0.02056533
13520,0.01972800
13530,0.01962667
13540,0.01905600
13550,0.01945600
13560,0.01963200
13570,0.01952000
13580,0.01912000
13590,0.01945600
13600,0.02045867
13610,0.02042667
13620,0.01937067
13630,0.02025067
13640,0.02025067
13650,0.01934933
13660,0.01931200
13670,0.01997867
13680,0.02152533
13690,0.01979200
13700,0.01984000
13710,0.01924267
13720,0.01909333
13730,0.01984000
13740,0.01933867
13750,0.01964800
13760,0.01958933
13770,0.02016533
13780,0.01870933
13790,0.01945067
13800,0.01957867
13810,0.01952533
13820,0.01960533
13830,0.01906667
13840,0.01919467
13850,0.01997867
13860,0.02032000
13870,0.01836800
13880,0.01953600
13890,0.01848000
13900,0.01970133
13910,0.01867733
13920,0.01857600
13930,0.01993067
13940,0.02083200
13950,0.01922133
13960,0.01947733
13970,0.01965867
13980,0.02011200
13990,0.01985600
14000,0.01966933
14010,0.02010133
14020,0.01926933
14030,0.01904533
14040,0.01995200
14050,0.01867733
14060,0.01872000
14070,0.01922667
14080,0.02053867
14090,0.01864533
14100,0.01842667
14110,0.01987200
14120,0.01926933
14130,0.01995200
14140,0.01999467
14150,0.01989333
14160,0.01882667
14170,0.01900267
14180,0.01992533
14190,0.01979200
14200,0.01955733
14210,0.01960533
14220,0.01955733
14230,0.01971733
14240,0.01960533
14250,0.02058667
14260,0.01978667
14270,0.01951467
14280,0.01968000
14290,0.01939733
14300,0.01967467
14310,0.01996267
14320,0.01990933
14330,0.01856533
14340,0.01896000
14350,0.01918933
14360,0.01942400
14370,0.02011200
14380,0.02013867
14390,0.02068800
14400,0.01915200
14410,0.01997867
14420,0.01957333
14430,0.01902933
14440,0.01888000
14450,0.01931733
14460,0.01998400
14470,0.01888000
14480,0.01934933
14490,0.02020800
14500,0.01985600
14510,0.01960533
14520,0.02025600
14530,0.01948267
14540,0.01937067
14550,0.02029867
14560,0.01961600
14570,0.01973867
14580,0.01856000
14590,0.01937067
14600,0.01895467
14610,0.02034667
14620,0.01874133
14630,0.01994667
14640,0.02000533
14650,0.01946133
14660,0.01908267
14670,0.01986667
14680,0.01993600
14690,0.01925333
14700,0.01912533
14710,0.01944000
14720,0.01994667
14730,0.02014400
14740,0.01949333
14750,0.01990400
14760,0.01970133
14770,0.01882133
14780,0.02065600
14790,0.01899733
14800,0.01974400
14810,0.01939733
14820,0.01910933
14830,0.02017067
14840,0.01942933
14850,0.02019733
14860,0.01876267
14870,0.01878400
14880,0.01966933
14890,0.01914667
14900,0.02015467
14910,0.01958933
14920,0.01966400
14930,0.01994133
14940,0.01973867
14950,0.02020267
14960,0.01950933
14970,0.01884800
14980,0.01908800
14990,0.01971733
15000,0.01902933
15010,0.01976533
15020,0.01958400
15030,0.01904000
15040,0.01949867
15050,0.01882133
15060,0.01899200
15070,0.01877867
15080,0.02019733
15090,0.02006933
15100,0.01995200
15110,0.01963733
15120,0.02032000
15130,0.01854400
15140,0.01926933
15150,0.01893333
15160,0.01963733
15170,0.01966400
15180,0.01896000
15190,0.02074133
15200,0.01862933
15210,0.02038933
15220,0.01949867
15230,0.01888533
15240,0.01859200
15250,0.01882667
15260,0.01871467
15270,0.02020267
15280,0.02040533
15290,0.02044800
15300,0.01965333
15310,0.01944533
15320,0.01953067
15330,0.01957867
15340,0.01972800
15350,0.01929600
15360,0.01945600
15370,0.01892267
15380,0.02029867
15390,0.01915200
15400,0.01888000
15410,0.02015467
15420,0.01945067
15430,0.01859200
15440,0.02035200
15450,0.02010667
15460,0.01967467
15470,0.02023467
15480,0.01961600
15490,0.01992533
15500,0.01933867
15510,0.01891200
15520,0.01974933
15530,0.01917333
15540,0.02054933
15550,0.01990933
15560,0.01977067
15570,0.01909333
15580,0.02001067
15590,0.01934400
15600,0.01924267
15610,0.01947733
15620,0.01992533
