p_removed,T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,mean_degree,mean_degree_err,n_realizations
0.3,2.932,-1.1012840833333333,0.0009049830189126313,0.5069676666666667,0.0011508454358304218,0.25742858333333335,0.0011566862376630011,0.06668941666666667,0.0005871644813479144,1.4343539166666668,0.031308264041540586,4.444833166666666,0.1773359510954755,4.20001220703125,0.0,12
0.3,2.96,-1.0622322499999999,0.0009936833539687195,0.4715513333333334,0.0011853140699597073,0.22290316666666665,0.001090646061198628,0.05015791666666666,0.0004679012855347275,1.47091325,0.054312434389279345,5.8351665,0.40125132868681174,4.20001220703125,0.0,12
0.3,2.988,-1.0175289166666668,0.0013224162713847867,0.42166091666666666,0.0019365402939197367,0.17868858333333335,0.0015930589188933523,0.032543499999999996,0.0005489655906311154,1.5840067500000001,0.0703048132983154,9.313323583333334,0.862992622444768,4.20001220703125,0.0,12
0.3,3.016,-0.9730720833333333,0.002202188117973675,0.36367641666666667,0.004885432610815877,0.13385141666666667,0.0033406285664625535,0.018697583333333333,0.0008377881544835361,1.6065540833333334,0.12170104656016842,14.432883166666668,2.789951910449938,4.20001220703125,0.0,12
0.3,3.044,-0.9174234166666667,0.002630078076552602,0.2522571666666667,0.009726042512349008,0.06839166666666667,0.004516049749325603,0.005702583333333333,0.0005781096999067413,1.5446100833333334,0.07080553592201612,44.86563891666666,10.217678772715303,4.20001220703125,0.0,12
0.3,3.072,-0.8761741666666666,0.0013663490715602393,0.14527916666666665,0.008634042441189564,0.027156333333333334,0.0023606670966940984,0.0012845833333333333,0.00016664380714444797,1.1962714166666666,0.0706499422533443,92.21997483333332,14.475836699810271,4.20001220703125,0.0,12
0.3,3.1,-0.8483731666666666,0.000821703596502439,0.07816150000000001,0.00536571815140369,0.0088955,0.0010076661040606296,0.0001945,3.4200943633978077e-05,0.7149539166666666,0.02007517382258357,61.26365416666667,8.354606920998064,4.20001220703125,0.0,12
0.3,3.128,-0.83000325,0.00047664317263037707,0.05627558333333333,0.0028194861568666416,0.0048045833333333334,0.0004430941048268678,6.149999999999999e-05,1.0245102303643495e-05,0.6030153333333333,0.012620666885163508,43.13462491666667,4.377198929679823,4.20001220703125,0.0,12
0.3,3.156,-0.81383275,0.0002942547887151876,0.04774966666666666,0.0017619527920503834,0.0034133333333333338,0.00021091274705120806,3.0333333333333333e-05,3.4779246104479605e-06,0.5321293333333333,0.007710843935784213,31.862441083333334,1.635547864296625,4.20001220703125,0.0,12
0.3,3.184,-0.7998452500000001,0.0004039023307719671,0.0362225,0.0011546889880357004,0.00200825,0.00011268420105172982,1.1000000000000001e-05,1.2851128944630318e-06,0.4779961666666667,0.006197349341542007,19.859039416666665,1.1804059393392086,4.20001220703125,0.0,12
0.3,3.212,-0.7862019166666667,0.0002523134011482327,0.032343416666666666,0.0011622332242499805,0.0016431666666666667,0.0001070328350450355,8.166666666666666e-06,1.0576799462440748e-06,0.4604500833333333,0.00568856314799815,15.811148583333333,1.0675710727659156,4.20001220703125,0.0,12
0.3,3.24,-0.7740009166666666,0.0003365105126534127,0.03054433333333333,0.0007950074550187273,0.0014541666666666668,7.227586391770426e-05,6.166666666666666e-06,5.48183409549259e-07,0.4151148333333334,0.004269063382539713,14.410098166666666,0.7703598981581629,4.20001220703125,0.0,12
0.3,3.268,-0.7627325833333334,0.0003177637644142991,0.02856083333333333,0.0005834829570014119,0.0012669166666666666,5.724091278062917e-05,4.75e-06,5.919280259278048e-07,0.3988259166666667,0.0032164480090346908,12.213270333333334,0.44346931278989116,4.20001220703125,0.0,12
0.3,3.296,-0.7517602499999999,0.0003042877955160207,0.026310666666666666,0.0007988356805028457,0.0010966666666666666,6.054378997924152e-05,3.6666666666666666e-06,4.322831096268821e-07,0.387049,0.004641061989883285,10.571104083333333,0.5958438330320497,4.20001220703125,0.0,12
0.3,3.324,-0.7412696666666667,0.0002232507196816678,0.024183916666666666,0.0003950953367559058,0.0009056666666666666,3.2941024742881194e-05,2.333333333333333e-06,2.2473328748774737e-07,0.35811683333333333,0.004361040048028115,8.716697916666666,0.30514883050047886,4.20001220703125,0.0,12
